id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr;uk
SCYTHE_DESC;Huge attack range.;Enorme Angriffsreichweite.;Une énorme portée d'attaque.;Enorme raggio d'attacco.;Enorme rango de ataque.;巨大的攻击范围。;攻撃範囲が広くなる。;공격 범위가 넓어집니다.;Enorme alcance de ataque.;Ogromny zasięg ataku.;Огромная дальность атаки.;Büyük saldırı menzili.;Величезний діапазон атаки.
BOW;Bow;Bogen;Arc;Arco;Arco;弓;弓;활;Arco;Łuk;Лук;Yay;Лук
BOW_DESC;Fast bullet speed.;Hohe Projektilgeschwindigkeit.;Vitesse de balle rapide.;Velocità del proiettile.;Velocidad de bala rápida.;快速的投射物速度。;弾速が速い。;총알 속도가 빠릅니다.;Velocidade rápida da bala.;Duża prędkość pocisku.;Быстрая скорость пули.;Mermi hızı yüksek.;Висока швидкість польоту кулі.
PHOENIX_SWORD;Sword of the Phoenix;Schwert des Phönix;L'épée du Phénix;Spada della Fenice;Espada del Fénix;凤凰之剑;フェニックスソード;불사조의 검;Espada da Fênix;Miecz Feniksa;Меч Феникса;Anka Kuşunun Kılıcı;Меч Фенікса
PHOENIX_SWORD_DESC;Setting enemies on fire.;Setzt Gegner in Brand.;Mettre le feu aux ennemis.;Dare fuoco ai nemici.;Prender fuego a los enemigos.;使敌人着火。;敵を燃やす。;적을 불태웁니다.;Incendiar os inimigos.;Podpalanie wrogów.;Поджигайте врагов.;Düşmanları ateşe vermek.;Підпалюємо ворогів.
PHOENIX_STAFF;Staff of the Phoenix;Stab des Phönix;Personnel du Phénix;Personale della Fenice;Personal del Fénix;凤凰法杖;フェニックスの杖;불사조의 지팡이;Pessoal da Phoenix;Personel Feniksa;Персонал Феникса;Anka Kuşu Personeli;Посох Фенікса
PHOENIX_STAFF_DESC;Setting enemies on fire.;Setzt Gegner in Brand.;Mettre le feu aux ennemis.;Dare fuoco ai nemici.;Prender fuego a los enemigos.;使敌人着火。;敵に火をつける;적을 불태웁니다.;Incendiar os inimigos.;Podpalanie wrogów.;Поджигайте врагов.;Düşmanları ateşe vermek.;Підпалює ворогів.
THROWING_AXE;Throwing Axe;Wurfaxt;Hache de jet;Ascia da lancio;Hacha arrojadiza;投掷飞斧;スロウイングアックス;던지는 도끼;Atirar Machado;Topór do rzucania;Метательный топор;Fırlatılan Balta;Метальна сокира
THROWING_AXE_DESC;Slow projectiles with a big range.;Langsame Projektile mit großer Reichweite.;Des projectiles lents avec une grande portée.;Proiettili lenti con grande gittata.;Proyectiles lentos con gran alcance.;缓慢的投射物，射程远。;射程距離の長い低速の弾丸。;넓은 범위의 느린 투사체를 던집니다.;Projécteis lentos com um grande alcance.;Powolne pociski o dużym zasięgu.;Медленные снаряды с большим радиусом действия.;Büyük bir menzile sahip yavaş mermiler.;Повільні снаряди з великою дальністю польоту.
THROWING_SPEAR;Throwing Spear;Wurfspeer;Lanceur;Javelin;Jabalina;投掷长矛;スロウイングスピア;던지는 창;Lança de arremesso;Włócznia do rzucania;Метательное копье;Fırlatılan Mızrak;Метання списа
THROWING_SPEAR_DESC;Projectiles knock back enemies.;Projektile stoßen Gegner zurück.;Les projectiles font reculer les ennemis.;I proiettili colpiscono i nemici.;Los proyectiles hacen retroceder a los enemigos.;投射物会击退敌人。;敵をノックバックさせる弾丸。;투사체가 적을 밀어냅니다.;Os projécteis fazem recuar os inimigos.;Pociski odrzucają przeciwników.;Снаряды отбрасывают врагов назад.;Mermiler düşmanları geri savurur.;Відкидає ворогів назад.
HAMMER;Hammer;Hammer;Marteau;Martello;Martillo;锤子;ハンマー;망치;Martelo;młotek;молот;Çekiç;Молот
HAMMER_DESC;Enemy hits creat ground slam which scales with melee damage and AoE size.;Treffer von Gegnern erzeugen eine Bodenwelle, welche mit dem Nahkampfschaden und der AoE-Größe skaliert.;Les ennemis qui sont touchés créent un choc au sol qui s'adapte aux dégâts de mêlée et à la taille de l'AoE.;I colpi dei nemici creano un colpo al suolo che scala con i danni in mischia e le dimensioni dell'AoE.;Los golpes del enemigo crean un golpe en el suelo que escala con el daño cuerpo a cuerpo y el tamaño del AoE.;敌人击中后会产生地面猛击，其伤害与近战伤害和AOE大小成正比。;敵に当たった場合、MeleeダメージとAoEサイズに応じた地面を叩きつける。;적을 내리치면 근접 피해와 광역 공격력에 따라 확장되는 땅을 내리칩니다.;Inimigo acerta em terreno de criatura que se escalda com danos de corpo a corpo e tamanho de AoE.;Wrogie trafienia powodują uderzenie w ziemię, które skaluje się wraz z obrażeniami zadawanymi w walce wręcz i zasięgiem.;При попадании в противника создается земляной слэм, урон которого зависит от урона в ближнем бою и размера АоЕ.;Düşman vuruşları, yakın dövüş hasarı ve etki alanı boyutuyla ölçeklenen yer çarpması yaratır.;Удари по ворогу створюють удар по землі, який збільшує шкоду від ближнього бою і розмір АоЕ.
MAGIC_SHIELD;Magic Shield;Magischer Schild;Bouclier magique;Scudo magico;Escudo mágico;魔法盾;Magic Shield;마법 방패;Escudo Mágico;Magiczna tarcza;Магический щит;Sihirli Kalkan;Магічний щит
MAGIC_SHIELD_DESC;20% chance on attack to create shield that destroyes enemy projectiles. Scales with AoE size.;20% Chance, bei einem Angriff eine Barriere zu erzeugen, die gegnerische Projektile zerstört. Skaliert mit der AoE-Größe.;20% de chances sur l'attaque de créer un bouclier qui détruit les projectiles ennemis. S'adapte à la taille de l'AoE.;20% di possibilità in attacco di creare un confine protettivo. Scala con le dimensioni dell'AoE.;20% de probabilidad al atacar de crear un escudo que destruye los proyectiles enemigos. Aumenta con el tamaño de AoE.;攻击时有 20% 的几率制造护盾，摧毁敌人的射弹。随 AoE 大小缩放。;攻撃時に20%の確率で敵の投擲物を破壊するシールドを生成する。AoEの大きさによって変化する。;공격 시 20% 확률로 적의 투사체를 파괴하는 보호막을 생성합니다. 광역 범위 크기에 따라 확장됩니다.;20% de chance no ataque de criar um escudo que destrói projéteis inimigos. Aumenta com o tamanho da área de efeito.;20% szans przy ataku na stworzenie tarczy, która niszczy wrogie pociski. Skaluje się wraz z rozmiarem zasięgu.;С вероятностью 20% при атаке создает щит, уничтожающий вражеские снаряды. Величина зависит от размера АоЕ.;Saldırıda %20 şansla düşman mermilerini yok eden bir kalkan yaratır. Etki alanı boyutuyla ölçeklenir.;20% шанс при атаці створити щит, який знищує ворожі снаряди. Має шкалу з розміром АоЕ.
BEAR_CALLER;Bear Caller;Bärenrufer;Appeleur d'ours;Orso chiamante;Llamador de osos;熊的召唤者;ベアコーラー;곰 호출자;Chamador do Urso;Bear Caller;Медвежий зов;Ayı Arayan;Ведмежий поклик
BEAR_CALLER_DESC;Instead of attacking each attack summons a bear. Bear attacks are like your own melee attacks.;Anstatt anzugreifen, beschwört jeder Angriff einen Bären. Bären-Angriffe sind wie deine eigenen Nahkampfangriffe.;Au lieu d'attaquer, chaque attaque convoque un ours. Les attaques de l'ours sont comme vos propres attaques de mêlée.;Invece di attaccare, ogni attacco evoca un orso. Gli attacchi dell'orso sono come gli attacchi in mischia.;En lugar de atacar, cada ataque invoca a un oso. Los ataques de oso son como tus propios ataques cuerpo a cuerpo.;每一次攻击都会召唤出一只熊，而不是攻击。熊的攻击就像你自己的近战攻击。;攻撃する代わりに、それぞれの攻撃は熊を召喚する。熊の攻撃は自分の近接攻撃のようなものです。;공격할 때마다 공격하는 대신 곰을 소환합니다. 곰의 공격은 자신의 근접 공격과 같습니다.;Em vez de atacar cada ataque, convoca um urso. Os ataques de ursos são como os seus próprios ataques corpo-a-corpo.;Zamiast atakować, każdy atak przywołuje niedźwiedzia. Ataki niedźwiedzia są jak twoje własne ataki w walce wręcz.;Вместо атаки каждая атака вызывает медведя. Атаки медведя похожи на ваши собственные атаки ближнего боя.;Saldırmak yerine her saldırı bir ayı çağırır. Ayı saldırıları kendi yakın dövüş saldırılarınız gibidir.;Замість того, щоб атакувати, кожна атака викликає ведмедя. Атаки ведмедя схожі на ваші власні атаки ближнього бою.
SHEEP_CALLER;Sheep Caller;Schafsrufer;Appelant de moutons;Chiamata di pecore;Llamador de ovejas;召唤羊的人;シープ・コーラー;양 호출자;Chamador de ovelhas;Sheep Caller;Овцевод;Koyun Arayıcı;Заклинатель овець
SHEEP_CALLER_DESC;Instead of attacking each attack summons a sheep. Sheep attacks are like your own melee attacks.;Anstatt anzugreifen, beschwört jeder Angriff ein Schaf. Schaf-Angriffe sind wie deine eigenen Nahkampfangriffe.;Au lieu d'attaquer, chaque attaque invoque un mouton. Les attaques des moutons sont comme tes propres attaques de mêlée.;Invece di attaccare, ogni attacco evoca una pecora. Gli attacchi della pecora sono come i tuoi attacchi in mischia.;En lugar de atacar, cada ataque invoca a una oveja. Los ataques de la oveja son como tus propios ataques cuerpo a cuerpo.;与其说是攻击，不如说每次攻击都会召唤一只羊。羊的攻击就像你自己的近战攻击。;攻撃の代わりに羊を召喚する。羊の攻撃は自分の近接攻撃と同じである。;공격할 때마다 공격 대신 양을 소환합니다. 양들의 공격은 자신의 근접 공격과 같습니다.;Em vez de atacar, cada ataque convoca uma ovelha. Os ataques da ovelha são como os teus próprios ataques corpo a corpo.;Zamiast atakować, każdy atak przywołuje owcę. Ataki owiec przypominają ataki w walce wręcz.;Вместо атаки каждая атака вызывает овцу. Атаки овец похожи на ваши собственные атаки ближнего боя.;Saldırmak yerine her saldırı bir koyun çağırır. Koyun saldırıları kendi yakın dövüş saldırılarınız gibidir.;Замість того, щоб атакувати, кожна атака викликає вівцю. Атаки овець подібні до ваших власних атак ближнього бою.
BLAZEBOLT;Blazebolt;Glutgeschoss;Éclair de flamme;Folgore;Blazebolt;火焰弩;ブレイズボルト;블레이즈 볼트;Raio de Fogo;Blazebolt;Blazebolt;Blazebolt;Блискавка
BLAZEBOLT_DESC;You projectiles become mines, staying on ground for 6 seconds.;Deine Projektile werden zu Minen und bleiben 6 Sekunden lang am Boden liegen.;Vos projectiles se transforment en mines et restent au sol pendant 6 secondes.;I vostri proiettili diventano mine e rimangono a terra per 6 secondi.;Tus proyectiles se convierten en minas que permanecen en el suelo durante 6 segundos.;你的射弹会变成地雷，在地面上停留 6 秒。;自分の弾丸が地雷になり、6秒間地面にとどまる。;투사체가 지뢰가 되어 6초 동안 지상에 머물러 있습니다.;Seus projéteis se tornam minas, permanecendo no chão por 6 segundos.;Twoje pociski stają się minami, które pozostają na ziemi przez 6 sekund.;Ваши снаряды превращаются в мины, которые остаются на земле в течение 6 секунд.;Mermileriniz mayın haline gelir ve 6 saniye boyunca yerde kalır.;Ваші снаряди стають мінами, що залишаються на землі на 6 секунд.
BALLISTIC_BARKWOOD;Ballistic Barkwood;Ballistisches Rindenholz;Écorce balistique;Barkwood balistico;Barkwood balístico;弹道巴克伍德;バリスティックバークウッド;탄도 나무 껍질;Barkwood Balístico;Ballistic Barkwood;Баллистическое дерево;Balistik Barkwood;Балістична кора
BALLISTIC_BARKWOOD_DESC;Each attack shoots a piercing projectile in attack direction.;Jeder Angriff schießt ein durchdringendes Projektil in Angriffsrichtung.;Chaque attaque envoie un projectile perforant dans la direction de l'attaque.;Ogni attacco spara un proiettile perforante nella direzione dell'attacco.;Cada ataque dispara un proyectil perforante en la dirección del ataque.;每次攻击都会向攻击方向发射一枚穿透弹丸。;各攻撃は攻撃方向に貫通弾を放つ。;공격할 때마다 공격 방향으로 관통하는 투사체를 발사합니다.;Cada ataque dispara um projétil perfurante na direção do ataque.;Każdy atak wystrzeliwuje przeszywający pocisk w kierunku ataku.;Каждая атака выбрасывает пронзающий снаряд в направлении атаки.;Her saldırı, saldırı yönünde delici bir mermi fırlatır.;Кожна атака стріляє пронизливим снарядом у напрямку атаки.
UNSTABLE_POTION;Unstable Potion;Instabiler Trank;Potion instable;Pozione instabile;Poción inestable;不稳定的药水;不安定なポーション;불안정한 물약;Poção instável;Niestabilna mikstura;Нестабильное зелье;Kararsız İksir;Нестійке зілля
UNSTABLE_POTION_DESC;30% chance to explode on enemy hit leaving a poisoned area behind. Poison deals 10 damage each 3 seconds for maximum duration of 9 seconds. ;30% Chance, bei einem Treffer des Gegners zu explodieren und einen vergifteten Bereich zu hinterlassen. Das Gift verursacht alle 3s 10 Schaden für eine maximale Dauer von 9s. ;30% de chances d'exploser sur un ennemi touché, laissant une zone empoisonnée derrière lui. Le poison inflige 10 points de dégâts toutes les 3 secondes pour une durée maximale de 9 secondes. ;30% di possibilità di esplodere quando il nemico viene colpito, lasciando dietro di sé un'area avvelenata. Il veleno infligge 10 danni ogni 3 secondi per una durata massima di 9 secondi. ;30% de probabilidad de explotar al golpear al enemigo dejando un área envenenada. El veneno inflige 10 de daño cada 3 segundos con una duración máxima de 9 segundos. ;30%的几率在被击中的敌人身上爆炸，留下一个中毒的区域。毒药每3秒造成10次伤害，最大持续时间为9秒。;30%の確率で敵に当たると爆発し、後ろに毒のエリアを残す。毒は3秒ごとに10ダメージを与え、最大9秒間持続する。;적에게 적중 시 30%의 확률로 폭발하여 독이 든 구역을 남깁니다. 독이 3초마다 10씩 최대 9초 동안 피해를 줍니다. ;30% de chance de explodir no ataque inimigo, deixando uma área envenenada para trás. O veneno causa 10 danos a cada 3 segundos durante 9 segundos, no máximo. ;30% szans na eksplozję przy trafieniu wroga, pozostawiając za sobą zatruty obszar. Trucizna zadaje 10 pkt. obrażeń co 3 sek. przez maksymalnie 9 sek.;С вероятностью 30% взрывается при попадании в противника, оставляя после себя отравленную область. Яд наносит 10 ед. урона каждые 3 сек. с максимальной продолжительностью 9 сек.;30 ihtimalle düşman vurulduğunda patlar ve arkasında zehirli bir alan bırakır. Zehir, 9 saniyelik maksimum süre boyunca her 3 saniyede 10 hasar verir.;30% шанс вибухнути при попаданні в супротивника, залишаючи за собою отруєну зону. Отрута завдає 10 одиниць шкоди кожні 3 секунди, максимальна тривалість - 9 секунд. 
ELDER_CLUB;Elder Club;Uralte Keule;Club des aînés;Club degli anziani;Club de ancianos;长者之棍;エルダークラブ;장로 클럽;Clube dos Anciãos;Klub Starszych;Клуб старейшин;Yaşlılar Kulübü;Булава старійшини
ELDER_CLUB_DESC;Very powerful but slow and heavy weapon.;Sehr starke, aber langsame und schwere Waffe.;Arme très puissante mais lente et lourde.;Arma molto potente ma lenta e pesante.;Arma muy potente pero lenta y pesada.;非常强大，但是缓慢而沉重的武器。;非常に強力だが、スピードが遅く、重い武器。;매우 강력하지만 느리고 무거운 무기입니다.;Muito poderosa mas lenta e pesada arma.;Bardzo potężna, ale powolna i ciężka broń.;Очень мощное, но медленное и тяжелое оружие.;Çok güçlü ama yavaş ve ağır bir silah.;Дуже потужна, але повільна і важка зброя.
SPEAR;Spear;Speer;Lance;Lancia;Lanza;长矛;スピア;창;Lança;Włócznia;Копье;Mızrak;Спис
SPEAR_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
EMERALD_STAFF;Emerald Staff;Smaragdstab;Personnel d'Emeraude;Personale di smeraldo;Personal de Emerald;翡翠法杖;エメラルド・スタッフ;에메랄드 지팡이;Pessoal Esmeralda;Emerald Staff;Изумрудный персонал;Zümrüt Personel;Смарагдовий посох
EMERALD_STAFF_DESC;Each attack summons a spider companion. Lasting 6 seconds. Spiders count as companions.;Jeder Angriff beschwört einen Spinnen-Gefährten. Hält 6s an. Spinnen zählen als Gefährten.;Chaque attaque convoque un compagnon araignée. La durée de vie est de 6 secondes. Les araignées comptent comme compagnons.;Ogni attacco evoca un compagno ragno. La durata è di 6 secondi. I ragni contano come compagni.;Cada ataque invoca una araña compañera. Dura 6 segundos. Las arañas cuentan como compañeros.;每次攻击都会召唤出一个蜘蛛同伴。持续6秒。蜘蛛也算作同伴。;各攻撃でスパイダーコンパニオンを召喚する。持続時間は6秒。スパイダーは仲間としてカウントされる。;공격할 때마다 거미 동료를 소환합니다. 6초 동안 지속됩니다. 거미는 동료로 간주됩니다.;Cada ataque convoca um companheiro aranha. Duração: 6 segundos. As aranhas contam como companheiras.;Każdy atak przywołuje pajęczego towarzysza. Trwa 6 sekund. Pająki liczą się jako towarzysze.;Каждая атака вызывает паука-компаньона. Длительность 6 секунд. Пауки считаются за компаньонов.;Her saldırı bir örümcek yoldaşı çağırır. 6 saniye sürer. Örümcekler yoldaş olarak sayılır.;Кожна атака викликає павука-компаньйона. На 6 секунд. Павуки вважаються компаньйонами.
LIGHTNING_STAFF;Lightning Staff;Blitz-Stab;Bâton de la foudre;Personale di fulminazione;Personal de rayos;闪电法杖;ライトニングスタッフ;번개 지팡이;Cajado relâmpago;Lightning Staff;Персонал Молнии;Yıldırım Personeli;Блискавичний посох
LIGHTNING_STAFF_DESC;Projectile hits create 2 replicating projectiles which target nearby enemies.;Projektil-Treffer erzeugen 2 sich replizierende Projektile, die auf Gegner in der Nähe zielen.;Les coups de projectiles créent 2 projectiles répliquants qui ciblent les ennemis proches.;I colpi di proiettile creano 2 proiettili replicanti che colpiscono i nemici vicini.;Los impactos de los proyectiles crean 2 proyectiles replicantes que apuntan a los enemigos cercanos.;击中后，会产生2个复制的投射物，瞄准最近的敌人。;近くにいる敵をターゲットする2つの複製弾を発射する。;투사체에 적중하면 복제 투사체 2개를 생성하여 근처의 적을 공격합니다.;Acertos de projécteis criam 2 projécteis replicadores que têm como alvo inimigos próximos.;Trafienia pociskami tworzą 2 replikujące się pociski, które celują w pobliskich wrogów.;При попадании снаряда создаются 2 повторяющихся снаряда, которые попадают в ближайших врагов.;Mermi isabetleri, yakındaki düşmanları hedef alan 2 çoğalan mermi oluşturur.;Влучання снаряда створює 2 реплікаційні снаряди, які вражають ворогів, що стоять поруч.
RIPPING_AXE;Ripping Axe;Reißende Axt;Hache d'arrachage;Ascia da strappo;Hacha de desgarrar;撕裂的斧头;リッピングアックス;찢어지는 도끼;Machado de Maturação;Siekiera rozpruwająca;Разрывной топор;Yırtma Baltası;Рубаюча сокира
RIPPING_AXE_DESC;Applys bleeding to enemies.;Verursacht Blutung bei Gegnern.;Applique le saignement aux ennemis.;Applica il sanguinamento ai nemici.;Aplica sangrado a los enemigos.;对敌人施加出血。;敵に出血を与える。;적에게 출혈을 입힙니다.;Aplica-se a sangrar aos inimigos.;Powoduje krwawienie u wrogów.;Применяет кровотечение к врагам.;Düşmanlara kanama uygular.;Наносить кровотечу ворогам.
ICE_FOCUS;Ice Focus;Eis-Fokus;Foyer de glace;Fuoco di ghiaccio;Foco de hielo;寒冰法球;アイスフォーカス;아이스 포커스;Foco no gelo;Ice Focus;Ледяной фокус;Buz Odağı;Крижаний фокус
ICE_FOCUS_DESC;Shoots two additional projectiles in a random direction.;Schießt zwei zusätzliche Projektile in eine zufällige Richtung.;Lance deux projectiles supplémentaires dans une direction aléatoire.;Spara due proiettili aggiuntivi in una direzione casuale.;Dispara dos proyectiles adicionales en una dirección aleatoria.;攻击时，向随机方向发射2个额外的投射物。;ランダムな方向に2つの弾丸を追加で発射する。;발사체 두 발을 무작위 방향으로 추가로 발사합니다.;Dispara dois projécteis adicionais numa direcção aleatória.;Wystrzeliwuje dwa dodatkowe pociski w losowym kierunku.;Выстреливает два дополнительных снаряда в случайном направлении.;Rastgele bir yöne iki ek mermi fırlatır.;Стріляє двома додатковими снарядами у випадковому напрямку.
BLEEDING_STAR;Bleeding Star;Blut-Stern;Étoile sanglante;Stella sanguinante;Estrella sangrante;腥红之星;ブリーディングスター;블리딩 스타;Estrela Sangrenta;Bleeding Star;Кровоточащая звезда;Kanayan Yıldız;Кровоточива зірка
BLEEDING_STAR_DESC;Causes bleeding on enemy hits.;Verursacht Blutung bei gegnerischen Treffern.;Provoque des saignements sur les ennemis touchés.;Provoca un'emorragia sui colpi dei nemici.;Provoca una hemorragia en los golpes del enemigo.;击中时，对敌人造成流血状态。;敵に当たると出血させる。;적에게 출혈을 일으킵니다.;Provoca hemorragias nos golpes do inimigo.;Powoduje krwawienie po trafieniu wroga.;Вызывает кровотечение при попадании в противника.;Düşman vuruşlarında kanamaya neden olur.;Викликає кровотечу при попаданні в супротивника.
AMBER;Ember;Glut;Braise;Braci;Brasas;火焰;エンバー;엠버;Ember;Ember;Ember;Kor;Вугілля
AMBER_DESC;Sets enemies on fire.;Setzt Gegner in Brand.;Met le feu aux ennemis.;Dà fuoco ai nemici.;Prende fuego a los enemigos.;击中时，使敌人着火。;敵に火をつける;적을 불태웁니다.;Incendeia os inimigos.;Podpala wrogów.;Поджигает врагов.;Düşmanları ateşe verir.;Підпалює ворогів.
SLINGSHOT;Slingshot;Schleuder;Fronde;Fionda;Tirachinas;弹弓;スリングショット;새총;Slingshot;Proca;Рогатка;Sapan;Рогатка
SLINGSHOT_DESC;Shoots two aditional projectiles in the aimed direction.;Schießt 2 zusätzliche Projektile ab.;Lance deux projectiles supplémentaires.;Spara due proiettili aggiuntivi.;Dispara dos proyectiles adicionales.;攻击时，发射2个额外的投射物。;狙った方向に追加で2発発射する。;조준한 방향으로 추가 투사체 두 발을 발사합니다.;Dispara dois projécteis adicionais na direcção pretendida.;Wystrzeliwuje dwa dodatkowe pociski w wybranym kierunku.;Выстреливает два дополнительных снаряда в направлении цели.;Hedeflenen yöne iki ek mermi fırlatır.;Стріляє двома додатковими снарядами у вказаному напрямку.
STING;Sting;Stachel;Piqûre;Pungiglione;Aguijón;刺;スティング;스팅;Ferrão;Sting;Стинг;Sting;Жало
STING_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
GNARLY_MACE;Gnarly Mace;Knorrige Keule;Massue noueuse;Mazza nodosa;Maza nudosa;粗糙的狼牙棒;グナーリーメイス;거친 메이스;Gnarly Mace;Gnarly Mace;Гнарли Мейс;Gnarly Mace;Кострубата булава
GNARLY_MACE_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
CINNAMON_STAR;Cinnamon Star;Zimtstern;Étoile à la cannelle;Stella alla cannella;Estrella de Canela;肉桂之星;シナモンスター;시나몬 스타;Estrela de canela;Cinnamon Star;Звезда корицы;Tarçın Yıldızı;«Корична зірка
CINNAMON_STAR_DESC;Projectiles return to you.;Projektile kehren zu dir zurück.;Les projectiles reviennent vers vous.;I proiettili tornano a voi.;Los proyectiles vuelven a ti.;投射物回到你身边。;弾丸が自分に戻る。;투사체가 자신에게 돌아옵니다.;Os projécteis voltam para si.;Pociski wracają do ciebie.;Снаряды возвращаются к вам.;Mermiler size geri döner.;Снаряди повертаються до вас.
SUGAR_STICK;Sugar Cane;Zuckerstange;Canne à sucre;Canna da zucchero;Caña de azúcar;甘蔗;シュガーケーン;사탕수수;Cana-de-açúcar;Trzcina cukrowa;Сахарный тростник;Şeker Kamışı;Цукрова Тростина
SUGAR_STICK_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
DAROKIN_STAFF;Darokin's Staff;Darokins Stab;Bâton de Darokin;Bastone di Darokin;Báculo de Darokin;达洛金之杖;ダロキンのスタッフ;다로킨의 지팡이;O pessoal de Darokin;Personel Darokina;Штаб Дарокина;Darokin'in Personeli;Посох Дарокіна
